fecha,empresa,numero_comprobante,articulo,precio_original,precio_normalizado,moneda,origen_dato,metodo_estimacion,observaciones_origen
2022-07-05,HOLCIM,0280-00139711,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-05,HOLCIM,0280-00139712,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-06,HOLCIM,0280-00139747,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-06,HOLCIM,0280-00139748,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-07,HOLCIM,0280-00139799,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-07,HOLCIM,0280-00139800,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-07,HOLCIM,0280-00139801,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-07,HOLCIM,0280-00139802,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-07,HOLCIM,0280-00139803,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-07,HOLCIM,0280-00139804,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-08,HOLCIM,0280-00139844,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-08,HOLCIM,0280-00139845,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-08,HOLCIM,0280-00139846,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-08,HOLCIM,0280-00139847,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-11,HOLCIM,0280-00139930,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-11,HOLCIM,0280-00139931,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-11,HOLCIM,0280-00139932,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-11,HOLCIM,0280-00139933,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-12,HOLCIM,0280-00139972,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-12,HOLCIM,0280-00139973,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-12,HOLCIM,0280-00139974,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-12,HOLCIM,0280-00139975,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-12,HOLCIM,0280-00139976,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
